;FLIGHT;GATE;DEPARTURE;PAX ARRIVAL;STATUS;SPAWN;SHIFT
60;EJU|1|420|D91;23;420;256;NORMAL;SOUTH;240
6182;EJU|1|420|D91;23;420;256;NORMAL;SOUTH;240
6183;EJU|1|420|D91;23;420;256;NORMAL;SOUTH;240
28;EJU|1|425|D91;2;425;257;NORMAL;SOUTH;240
154;RYR|1|370|D56;13;370;264;NORMAL;SOUTH;240
163;AUA|1|425|D92;4;425;264;NORMAL;NORTH;240
136;BXI|1|510|D38;8;510;264;NORMAL;NORTH;240
180;EJU|1|420|D91;23;420;265;NORMAL;SOUTH;240
209;EJU|1|420|D94;18;420;265;NORMAL;SOUTH;240
6237;EJU|1|420|D94;18;420;265;NORMAL;SOUTH;240
129;WZZ|1|440|D28;20;440;265;NORMAL;NORTH;240
6208;WZZ|1|440|D28;20;440;265;NORMAL;NORTH;240
226;EJU|1|420|D91;23;420;266;NORMAL;SOUTH;240
228;EJU|1|420|D92;16;420;267;NORMAL;SOUTH;240
190;WZZ|1|440|D28;20;440;267;NORMAL;NORTH;240
6232;WZZ|1|440|D28;20;440;267;NORMAL;NORTH;240
212;EJU|1|430|D51;17;430;268;NORMAL;NORTH;240
6241;EJU|1|430|D51;17;430;268;NORMAL;NORTH;240
6242;EJU|1|430|D51;17;430;268;NORMAL;NORTH;240
264;BAW|1|485|D91;16;485;268;NORMAL;SOUTH;240
6263;BAW|1|485|D91;16;485;268;NORMAL;SOUTH;240
6264;BAW|1|485|D91;16;485;268;NORMAL;SOUTH;240
6265;BAW|1|485|D91;16;485;268;NORMAL;SOUTH;240
188;EJU|1|440|D27;12;440;269;NORMAL;SOUTH;240
305;LGL|1|500|D32;23;500;269;NORMAL;SOUTH;240
4;EJU|1|420|D90;12;420;270;NORMAL;NORTH;240
276;EJU|1|430|D51;17;430;270;NORMAL;NORTH;240
6277;EJU|1|430|D51;17;430;270;NORMAL;NORTH;240
6278;EJU|1|430|D51;17;430;270;NORMAL;NORTH;240
